255485	0.107634	247.33
255513	0.107136	247.967
255540	0.10628	248.857
255567	0.105329	249.868
255595	0.104599	250.911
255622	0.103812	251.878
255649	0.103066	252.889
255677	0.102394	253.713
255704	0.101612	254.713
255731	0.100846	255.591
255758	0.100071	256.613
255786	0.0993347	257.58
255813	0.0988555	258.514
255840	0.0980902	259.415
255868	0.0974369	260.316
255895	0.0969505	261.26
255922	0.0963593	262.161
255949	0.0953388	263.007
255977	0.0949812	264.139
256004	0.0943661	264.963
256031	0.0938916	265.886
256059	0.0930047	266.797
256086	0.0924897	267.786
256113	0.0919461	268.797
256141	0.0912809	269.555
256168	0.0905514	-89.4781
256195	0.0900578	-88.764
256222	0.0892305	-87.6764
256250	0.0886512	-86.8085
256277	0.0879431	-85.9735
256304	0.0873828	-85.1935
256332	0.0866413	-84.4794
256359	0.0860262	-83.6334
256386	0.0853443	-82.8534
256414	0.084753	-81.9525
256441	0.0842619	-81.1945
256468	0.0836992	-80.4694
256495	0.083046	-79.6454
256523	0.0823545	-78.9093
256550	0.0816846	-78.1842
256577	0.0811219	-77.4701
256605	0.0808096	-76.701
256632	0.0800776	-76.0638
256659	0.0796771	-75.5585
256686	0.0790524	-74.7455
256714	0.0785589	-74.0533
256741	0.0780416	-73.4491
256768	0.0776243	-72.8229
256796	0.077014	-72.2845
256823	0.0766659	-71.5265
256850	0.0760531	-70.8783
256878	0.0756526	-70.4169
256905	0.0748396	-69.8016
256932	0.0744033	-69.2303
256959	0.0741768	-68.5602
256987	0.0735784	-68.2196
257014	0.0730467	-67.8241
257041	0.0726748	-67.2198
257069	0.0721765	-66.7255
257096	0.0718498	-66.4288
257123	0.0713587	-65.9674
257150	0.07092	-65.6598
257178	0.0705934	-65.3082
257205	0.0701571	-64.9237
257232	0.0697637	-64.7589
257260	0.0697517	-64.4403
257287	0.0692606	-64.2316
257314	0.0691581	-64.3085
257342	0.0692558	-64.1437
257369	0.0693679	-63.891
257396	0.0694394	-63.4955
257423	0.0697541	-63.4735
257451	0.0697637	-62.7045
257478	0.0700641	-62.1002
257505	0.0701308	-61.6498
257533	0.0699425	-61.2323
257560	0.0697923	-60.683
257587	0.06953	-60.1337
257615	0.0691319	-59.837
257642	0.0691056	-59.6832
257669	0.0689745	-59.4635
257696	0.0687146	-59.2328
257724	0.0686884	-59.2657
257751	0.0687742	-59.2328
257778	0.0690222	-59.0021
257806	0.069077	-59.068
257833	0.0695491	-58.9581
257860	0.0699162	-58.6615
257887	0.0701737	-58.5187
257915	0.0703931	-58.3209
257942	0.0708032	-58.1232
257969	0.0710535	-58.0792
257997	0.0714517	-58.1342
258024	0.072093	-58.244
258051	0.0729322	-58.0023
258079	0.0736141	-58.0133
258106	0.0748062	-57.7826
258133	0.0759959	-57.6727
258160	0.0771832	-57.1674
258188	0.0785661	-56.7719
258215	0.0796747	-55.9808
258242	0.0810122	-55.2997
258270	0.0821042	-54.4757
258297	0.0832009	-53.399
258324	0.0842905	-52.4762
258351	0.085237	-51.2897
258379	0.0859714	-50.1801
258406	0.0865793	-49.1254
258433	0.0871158	-48.1036
258461	0.0873971	-46.9391
258488	0.0876999	-46.0272
258515	0.088191	-45.0055
258543	0.0884461	-44.0497
258570	0.0885439	-43.1158
258597	0.0885892	-42.149
258624	0.0887609	-41.2811
258652	0.0889874	-40.3802
258679	0.0888062	-39.6661
258706	0.0890684	-38.8641
258734	0.0891638	-38.3148
258761	0.0891495	-37.5128
258788	0.0893831	-36.7328
258816	0.0895429	-36.0626
258843	0.0897145	-35.4144
258870	0.0899243	-34.7223
258897	0.0902033	-34.0521
258925	0.0904918	-33.382
258952	0.0908422	-32.6569
258979	0.0911903	-31.8878
259007	0.0910568	-30.954
259034	0.0910068	-30.4156
259061	0.0913382	-29.9323
259088	0.0917768	-29.1522
259116	0.0916386	-28.526
259143	0.0919914	-27.8558
259170	0.0922751	-27.2406
259198	0.0922656	-26.5704
259225	0.0924158	-26.0101
259252	0.0928831	-25.3949
259280	0.0933647	-24.8236
259307	0.0934577	-24.1864
259334	0.0940299	-23.5052
259361	0.0943661	-22.6703
259389	0.0948524	-22.0001
259416	0.0949526	-21.264
259443	0.0953746	-20.4181
259471	0.0957036	-19.715
259498	0.095849	-18.9679
259525	0.0960684	-18.3307
259552	0.0962782	-17.5067
259580	0.0966191	-16.5399
259607	0.0965953	-15.7159
259634	0.0967526	-14.881
259662	0.0968337	-14.024
259689	0.0966072	-13.0353
259716	0.09655	-12.2113
259744	0.0960588	-11.4203
259771	0.0957322	-10.7281
259798	0.0953746	-10.0031
259825	0.0949454	-9.40979
259853	0.094552	-8.75061
259880	0.0938869	-8.13538
259907	0.0935149	-7.5531
259935	0.0928211	-7.0697
259962	0.0921488	-6.56433
259989	0.0913429	-6.14685
260017	0.0903988	-5.75134
260044	0.0895596	-5.52063
260071	0.0886393	-5.53162
260098	0.0876784	-5.60852
260126	0.0869417	-5.83923
260153	0.086503	-6.27869
260180	0.0861025	-6.76208
260208	0.0860453	-7.25647
260235	0.0860667	-7.82776
260262	0.0863576	-8.49792
260289	0.0868273	-9.06921
260317	0.0874686	-9.62952
260344	0.0885057	-10.2667
260371	0.0894451	-10.5853
260399	0.0906134	-10.7941
260426	0.0916386	-10.871
260453	0.0923157	-10.9149
260481	0.0929761	-11.3104
260508	0.0935102	-12.0685
260535	0.0948882	-12.7386
260562	0.0965142	-13.299
260590	0.0979805	-13.7823
260617	0.0995684	-14.4086
260644	0.10179	-15.0458
260672	0.103877	-15.672
260699	0.106604	-16.2213
260726	0.109527	-16.8475
